15345;Симферополь
15256;Севастополь
38609;Абрикосовка, Кировский р-н
46748;Абрикосовка, Сакский р-н
38211;Абрикосово
34439;Аграрное, гор. округ Симферополь
39365;Азов, Красногвардейский р-н
4635;Азовское, Джанкойский р-н
39214;Айвазовское, Кировский р-н
39441;Айвовое, Бахчисарайский р-н
39486;Айкаван, Симферопольский р-н
33860;Акимовка
39487;Акрополис, Симферопольский р-н
39281;Александровка, Белогорский р-н
38079;Александровка, Красногвардейский р-н
36042;Александровка, Симферопольский р-н
39282;Алексеевка, Белогорский р-н
38212;Алексеевка, Первомайский р-н
15501;Алупка, Ялтинский р-н
15502;Алушта
44738;Амурское
39488;Ана-Юрт, Симферопольский р-н
16524;Андреевка, Севастопольский р-н
39489;Андрусово, Симферопольский р-н
39283;Анновка, Белогорский р-н
38335;Арбузово, Первомайский р-н
15503;Армянск
39442;Аромат, Бахчисарайский р-н
39443;Ароматное, Бахчисарайский р-н
38799;Ароматное, Белогорский р-н
37523;Артемовка
34442;Аэрофлотский, гор. округ Симферополь
38610;Бабенково
16531;Багерово
16518;Балаклава, Севастопольский р-н
39285;Баланово, Белогорский р-н
61754;Балки, Белогорский р-н
39286;Барабаново, Белогорский р-н
38041;Батальное
5214;Бахчисарай
43637;Баштановка, Бахчисарайский р-н
38800;Белая скала
58142;Белинское, Ленинский р-н
23856;Белоглинка
15504;Белогорск (Крым)
36038;Белокаменное
53881;Бельбек
16079;Береговое
38851;Береговое, Бахчисарайский р-н
38841;Береговое, гор. округ Ялта
38204;Березовка
34440;Битумный, гор. округ Симферополь
52419;Ближнегородское
38839;Ближнее, гор. округ Феодосия
38815;Ближнее, Красногвардейский р-н
15798;Богатовка, ГО Судак
35714;Богатое
39444;Богатое Ущелье, Бахчисарайский р-н
39445;Богатырь, Бахчисарайский р-н
39490;Богдановка, Симферопольский р-н
43638;Большое Садовое, Бахчисарайский р-н
38295;Бондаренково
39422;Бондаренково, гор. округ Алушта
48399;Бондаренково, Ленинский р-н
38205;Ботаническое
38350;Братское, Красноперекопский р-н
38336;Братское, Первомайский р-н
43639;Брянское, Бахчисарайский р-н
36310;Буревестник, Нижнегорский р-н
48302;Валентиново
34495;Васильевка, Белогорский р-н
39215;Васильковое, Кировский р-н
38061;Вересаево
38054;Вересаево, Сакский р-н
50653;Верхнекурганное
37270;Верхнесадовое
39287;Верхние Орешники, Белогорский р-н
16468;Верхняя Кутузовка
36516;Верхоречье
38055;Веселовка
15791;Веселое, ГО Судак
39491;Весёлое, Симферопольский р-н
39216;Видное, Кировский р-н
39367;Видное, Красногвардейский р-н
39446;Викторовка, Бахчисарайский р-н
15505;Вилино
38858;Винницкое
39407;Виноградное, гор. округ Феодосия
38043;Виноградное, Ленинский р-н
38294;Виноградный
39423;Виноградный, гор. округ Алушта
38056;Виноградово
15748;Витино, Сакский городской округ
38801;Вишенное
38351;Вишневка
16523;Вишневое, Севастопольский р-н
39289;Вишнёвое, Белогорский р-н
39369;Вишняковка, Красногвардейский р-н
39291;Владимировка, Белогорский р-н
50963;Владимировка, Черноморский р-н
39371;Владимирово, Красногвардейский р-н
33799;Владиславовка, Кировский р-н
38785;Владиславовка, Нижнегорский р-н
52619;Внуково, Черноморский р-н
38200;Водопойное, Черноморский р-н
33941;Воинка
16532;Войково, Ленинский р-н
38214;Войково, Первомайский р-н
39419;Волошино, гор. округ Армянск
38370;Вольное, Джанкойский р-н
38058;Воробьёво
39411;Ворон гор. округ Судак
38617;Восточное
39412;Восход, гор. округ Ялта
38816;Восход, Красногвардейский р-н
39413;Высокогорное , гор. округ Ялта
39447;Высокое, Бахчисарайский р-н
15609;Гаспра, Ялтинский р-н
31802;Гвардейское
38216;Гвардейское, Первомайский р-н
16471;Генеральское
39226;Георгиевка, Советский р-н
38060;Геройское
38044;Глазовка
39448;Глубокий Яр, Бахчисарайский р-н
38798;Головановка
39449;Голубинка, Бахчисарайский р-н
16528;Гончарное, Севастопольский р-н
39450;Горка, Бахчисарайский р-н
39293;Горлинка, Белогорский р-н
39414;Горное, гор. округ Ялта
38045;Горностаевка
39373;Григорьевка, Красногвардейский р-н
38217;Гришино
39421;Громовка, гор. округ Судак
38201;Громово, Черноморский р-н
15796;Грушевка, ГО Судак
34438;Грушевое, Симферопольский р-н
34441;Грэсовский, гор. округ Симферополь
15608;Гурзуф, Ялтинский р-н
38198;Далекое
16519;Дальнее, Севастопольский р-н
35591;Дачное, Бахчисарайский р-н
15793;Дачное, ГО Судак
39227;Демьяновка, Советский р-н
35286;Денисовка
6874;Джанкой
39295;Дивное, Белогорский р-н
39492;Дивное, Симферопольский р-н
38619;Дмитровка, Советский р-н
38372;Днепровка
37504;Добровский
35928;Доброе, Симферопольский р-н
39217;Добролюбовка, Кировский р-н
38063;Добрушино
39297;Дозорное, Белогорский р-н
38852;Долинное, Бахчисарайский р-н
39218;Долинное, Кировский р-н
39298;Долиновка, Белогорский р-н
35678;Донское
39451;Дорожное, Бахчисарайский р-н
39374;Доходное, Красногвардейский р-н
38786;Дрофино
39493;Дружное, Симферопольский р-н
34433;Дубки, Симферопольский р-н
43640;Дубровка, Бахчисарайский р-н
48279;Дубровское
39228;Дятловка, Советский р-н
7081;Евпатория
39299;Еленовка, Белогорский р-н
38064;Елизаветово
37390;Емельяновка
38374;Ермаково
38853;Железнодорожное
33826;Желябовка
38787;Жемчужина
38612;Жемчужина Крыма
39494;Живописное, Симферопольский р-н
36183;Журавки, Кировский р-н
38860;Журавлевка, Симферопольский р-н
50962;Журавлёвка, Черноморский р-н
38375;Завет-Ленинский
39452;Заветное, Бахчисарайский р-н
38046;Заветное, Ленинский р-н
36311;Заветное, Советский р-н
47774;Зайцево
36061;Залесное, Бахчисарайский р-н
34434;Залесье, Симферопольский р-н
39248;Заливное, Нижнегорский р-н
15747;Заозёрное, гор.окр. Евпатория
16479;Запрудное
38367;Заречное, Джанкойский р-н
39376;Заречное, Красногвардейский р-н
50895;Заречное, Симферопольский р-н
39378;Заря, Красногвардейский р-н
39380;Звёздное, Красногвардейский р-н
38353;Зеленая Нива
38805;Зеленогорское
16475;Зеленогорье
38789;Зеленое, Нижнегорский р-н
39453;Зелёное, Бахчисарайский р-н
24443;Земляничное
38376;Зерновое, Джанкойский р-н
38821;Зерновое, Красногвардейский р-н
38065;Зерновое, Сакский р-н
38206;Зимино
46414;Знаменское
38613;Золотое Поле
39383;Золотое, Красногвардейский р-н
38790;Зоркино
52618;Зоряное, Черноморский р-н
39454;Зубакино, Бахчисарайский р-н
32162;Зуя
38806;Зыбины
38292;Ивановка, Ленинский р-н
38791;Ивановка, Нижнегорский р-н
33866;Ивановка, Сакский р-н
39385;Известковое, Красногвардейский р-н
16466;Изобильное
39219;Изобильное, Кировский р-н
38792;Изобильное, Нижнегорский р-н
